Country,Tenant,Sport,City,Stadium,Capacity,Built,Seats
Ecuador,Football-use,Football,Latacunga,Estadio La Cocha,15200,1982,all-seater
Ecuador,Football-use,Football,Quito,Estadio César Espinoza,15000,1958,10000
Ecuador,CD Olmedo,Football,Riobamba,Olímpico de Riobamba,14400,1926,all-seater
Ecuador,Indoor Sports,Indoor Sports,Quito,Coliseo General Rumiñahui,14200,1992,all-seater
Ecuador,Football-use,Football,Esmeraldas,Estadio Folke Anderson,14000,1956,all-seater
Ecuador,Bullfight-use,Bullfight-use,Quito,Plaza Monumental,13800,1960,all-seater
Ecuador,LDU Loja,Football,Loja,Estadio Reina del Cisne,13400,1980,all-seater
Ecuador,Delfín SC,Football,Manta,Estadio Jocay,13000,1962,all-seater
Ecuador,Manta FC,Football,Manta,Estadio Jocay,13000,1962,all-seater
Ecuador,CD Espoli,Football,Cayambe,Olímpico Guillermo Albornoz,12000,null,all-seater
Ecuador,Football-use,Football,Milagro,Estadio Los Chirijos,12000,1970,all-seater
Ecuador,Football-use,Football,Santo Domingo,Estadio Etho Vega,12000,1970,all-seater
Ecuador,CD San Francisco,Football,Azogues,Estadio J. Andrade Cantos,11500,1982,all-seater
Ecuador,Football-use,Football,Babahoyo,Rafael Vera Yépez,11000,1996,all-seater
Ecuador,Bullfight-use,Bullfight-use,Ambato,Plaza de Ambato,11000,1963,all-seater
Ecuador,Bullfight-use,Bullfight-use,Riobamba,Plaza Raúl Dávalos,11000,1952,all-seater
Ecuador,Race-use,Race-use,Ibarra,Autodromo de Yahuarcocha,10800,1970,all-seater
Ecuador,Guayaquil City FC,Football,Guayaquil,Christian Benítez Betancourt,10150,2014,all-seater
Guyana,Guyana Cricket,Cricket,Georgetown,Cricket Club Ground,25000,1884,null
Guyana,Georgetown CC,Cricket,Georgetown,Cricket Club Ground,25000,1884,null
Guyana,Guyana Cricket,Cricket,Georgetown,Providence Stadium,20000,2007,all-seater
Guyana,Guyana Amazon Warriors,Cricket,Georgetown,Providence Stadium,20000,2007,all-seater
Paraguay,Club Cerro Porteño,Football,Asunción,General Pablo Rojas,45000,1991,all-seater
Paraguay,National Stadium,Multi-use,Asunción,Defensores Del Chaco,42354,1917,all-seater
Paraguay,Club Olímpia,Football,Asunción,Defensores Del Chaco,42354,1917,all-seater
Paraguay,CA Tres de Febrero,Football,Ciudad/Este,Antonio Oddone Sarubbi,28000,1973,all-seater
Paraguay,CS Luqueño,Football,Luque,Estadio F. Cáceres,24000,1999,all-seater
Paraguay,CS 2 de Mayo,Football,Caballero,Estadio Río Parapití,20000,1999,all-seater
Paraguay,Club Olímpia,Football,Asunción,Estadio Manuel Ferreira,20000,1964,all-seater
Paraguay,Club Libertad,Football,Asunción,Estadio Dr. Nicolás Leoz,10000,2005,all-seater
Peru,Universitario,Football,Lima,Estadio Monumental U,80093,2000,all-seater
Peru,FBC Melgar,Football,Arequipa,Estadio Monumental,60000,1990,all-seater
Peru,National Stadium,Multi-use,Lima,Estadio Nacional,45574,1952,all-seater
Peru,Universidad San Marcos,Football,Lima,Universidad San Marcos,43000,1997,all-seater
Peru,ADFP Cienciano,Football,Cusco,Inca Garcilaso de la Vega,42056,1957,all-seater
Peru,Horse Racing-use,Horse Racing,Lima,Jockey Club Monterrico,40000,null,all-seater
Peru,Alianza Lima,Football,Lima,Alejandro Villanueva,35000,1974,all-seater
Peru,UNCV,Football,Trujillo,Estadio Mansiche,25036,1946,all-seater
Peru,CSD Mannucci,Football,Trujillo,Estadio Mansiche,25036,1946,all-seater
Peru,CN Iquitos,Football,Iquitos,Estadio Max Augustín,25000,1942,all-seater
Peru,Club Jose Galvez,Football,Chimbote,Estadio Centenario,25000,2007,all-seater
Peru,Atletico Grau,Football,Piura,Estadio Miguel Grau,25000,1958,all-seater
Peru,La Loretana,Football,Pucallpa,Estadio Aliardo Soria,25000,2007,all-seater
Peru,Coronel Bolognesi,Football,Tacna,Estadio Jorge Basadre,23450,2000,all-seater
Peru,Juan Aurich,Football,Chiclayo,Estadio Elias Aguírre,23000,1970,all-seater
Peru,Atletico Porteño,Football,P/Maldonado,Estadio Municipal,21600,null,null
Peru,Cobresol FBC,Football,Moquegua,Estadio 25 de Noviembre,21000,2009,all-seater
Peru,Football-use,Football,Tacna,Estadio Joel Gutiérrez,21000,null,all-seater
Peru,FBC Melgar,Football,Arequipa,Estadio Mariano Melgar,20000,null,null
Peru,Alfonso Ugarte,Football,Puno,Estadio E. Torres Belón,20000,null,null
Peru,Sport Huancayo,Football,Huancayo,Estadio Huancayo,20000,null,null
Peru,Sport Aguila,Football,Huancayo,Estadio Huancayo,20000,null,null
Peru,Leon de Huánuco,Football,Huánuco,Estadio Heraclio Tapia,20000,1972,null
Peru,Multi-use,Multi-use,Lima,Coliseo Amauta,20000,null,null
Peru,Sport Ancash,Football,Huaraz,Estadio Rosas Pampa,18000,1945,all-seater
Peru,Sporting Cristal,Football,Lima,Estadio Alberto Gallardo,18000,1995,null
Peru,Unión Tarapoto,Football,Tarapoto,Estadio Municipal,18000,null,null
Peru,Sport Boys,Football,Callao,Estadio Miguel Grau,17000,1996,null
Peru,Diablos Rojos,Football,Juliaca,Estadio Guillermo Briceño,15000,null,null
Peru,Bullfight-use,Bullfight-use,Lima,Plaza de Acho,14000,1945,null
Peru,Multi-use,Multi-use,Cusco,Coliseo Cusco,13000,null,null
Peru,Inti Gas,Football,Ayacucho,Estadio Ciudad de Cumana,12000,null,null
Peru,Bullfight-use,Bullfight-use,Chota,Plaza de J.F. Lorenzo,12000,1968,null
Peru,Indoor Sports,Indoor Sports,Trujillo,Coliseo Gran Chimu,12000,null,all-seater
Peru,Alianza Atlético,Football,Sullana,Campeones del 36,10000,null,null
Peru,Deportivo Wanka,Football,Jauja,Estadio Monumental,10000,null,null
Peru,Football-use,Football,Abancay,Estadio Condebamba,10000,null,null
Peru,Bullfight-use,Bullfight-use,Sicaya,Plaza de Sicaya,10000,null,null
Peru,Bullfight-use,Bullfight-use,Lima,Plaza Sol y Sombra,10000,1982,null
Peru,Deportivo Aviación,Football,Lima,Municipal de Chorrillos,10000,null,null
Uruguay,National Stadium,Multi-use,Montevideo,Estadio Centenario,65235,1930,all-seater
Uruguay,CA Peñarol,Football,Montevideo,Estadio Campeón del Siglo,43000,2016,all-seater
Uruguay,Rivera Libramento FC,Football,Rivera,Atilio Paiva Olivera,27135,null,null
